courseName,courseCode,credits,level,department,division,ownedBy
C-1,1001,7.5,Second Cycle,D6,D6-5,P-52
C-2,1002,7.5,Second Cycle,D2,D2-2,P-12
C-3,1003,7.5,First Cycle,D1,D1-4,P-02
C-4,1004,7.5,Second Cycle,D5,D5-1,P-43
C-5,1005,7.5,Second Cycle,D6,D6-2,P-52
C-6,1006,7.5,Second Cycle,D8,D8-3,P-73
C-7,1007,7.5,First Cycle,D1,D1-0,P-03
C-8,1008,7.5,Second Cycle,D3,D3-2,P-21
C-9,1009,7.5,Second Cycle,D4,D4-0,P-31
C-10,1010,7.5,First Cycle,D2,D2-1,P-11
C-11,1011,7.5,Second Cycle,D8,D8-2,P-73
C-12,1012,7.5,First Cycle,D1,D1-1,P-02
C-13,1013,7.5,Second Cycle,D3,D3-3,P-21
C-14,1014,7.5,First Cycle,D6,D6-1,P-51
C-15,1015,7.5,First Cycle,D4,D4-3,P-33
C-16,1016,7.5,First Cycle,D2,D2-1,P-12
C-17,1017,7.5,Second Cycle,D6,D6-1,P-52
C-18,1018,7.5,Second Cycle,D7,D7-2,P-63
C-19,1019,7.5,First Cycle,D7,D7-0,P-61
C-20,1020,7.5,Second Cycle,D2,D2-5,P-11
C-21,1021,7.5,First Cycle,D2,D2-0,P-12
C-22,1022,7.5,First Cycle,D2,D2-0,P-11
C-23,1023,7.5,Second Cycle,D4,D4-0,P-31
C-24,1024,7.5,Second Cycle,D3,D3-3,P-21
C-25,1025,7.5,Second Cycle,D8,D8-5,P-71
C-26,1026,7.5,First Cycle,D7,D7-4,P-62
C-27,1027,7.5,Second Cycle,D1,D1-2,P-01
C-28,1028,7.5,Second Cycle,D8,D8-3,P-73
C-29,1029,7.5,First Cycle,D4,D4-0,P-32
C-30,1030,7.5,First Cycle,D4,D4-0,P-33
C-31,1031,7.5,First Cycle,D5,D5-2,P-43
C-32,1032,7.5,Second Cycle,D6,D6-2,P-51
C-33,1033,7.5,Second Cycle,D4,D4-4,P-31
C-34,1034,7.5,First Cycle,D7,D7-0,P-61
C-35,1035,7.5,Second Cycle,D2,D2-4,P-12
C-36,1036,7.5,Second Cycle,D8,D8-1,P-74
C-37,1037,7.5,First Cycle,D6,D6-4,P-52
C-38,1038,7.5,First Cycle,D1,D1-4,P-01
C-39,1039,7.5,Second Cycle,D4,D4-3,P-33
C-40,1040,7.5,First Cycle,D3,D3-5,P-22
C-41,1041,7.5,First Cycle,D8,D8-2,P-72
C-42,1042,7.5,First Cycle,D8,D8-0,P-72
C-43,1043,7.5,First Cycle,D2,D2-5,P-12
C-44,1044,7.5,Second Cycle,D5,D5-1,P-42
C-45,1045,7.5,First Cycle,D1,D1-4,P-02
C-46,1046,7.5,First Cycle,D4,D4-4,P-32
C-47,1047,7.5,Second Cycle,D1,D1-0,P-01
C-48,1048,7.5,First Cycle,D5,D5-1,P-42
C-49,1049,7.5,Second Cycle,D1,D1-1,P-02
C-50,1050,7.5,Second Cycle,D1,D1-2,P-02
C-51,1051,7.5,Second Cycle,D5,D5-3,P-41
C-52,1052,7.5,Second Cycle,D7,D7-4,P-62
C-53,1053,7.5,Second Cycle,D5,D5-0,P-42
C-54,1054,7.5,First Cycle,D2,D2-0,P-11
C-55,1055,7.5,First Cycle,D6,D6-0,P-51
C-56,1056,7.5,Second Cycle,D5,D5-0,P-43
C-57,1057,7.5,First Cycle,D6,D6-5,P-52
C-58,1058,7.5,Second Cycle,D6,D6-4,P-51
C-59,1059,7.5,Second Cycle,D6,D6-3,P-52
C-60,1060,7.5,Second Cycle,D2,D2-4,P-11
C-61,1061,7.5,First Cycle,D1,D1-1,P-02
C-62,1062,7.5,First Cycle,D2,D2-2,P-12
C-63,1063,7.5,First Cycle,D7,D7-0,P-63
C-64,1064,7.5,First Cycle,D3,D3-0,P-21
C-65,1065,7.5,First Cycle,D6,D6-2,P-51
C-66,1066,7.5,Second Cycle,D7,D7-5,P-64
C-67,1067,7.5,First Cycle,D7,D7-0,P-63
C-68,1068,7.5,Second Cycle,D3,D3-2,P-21
C-69,1069,7.5,First Cycle,D6,D6-1,P-51
C-70,1070,7.5,First Cycle,D3,D3-1,P-21
C-71,1071,7.5,Second Cycle,D5,D5-3,P-41
C-72,1072,7.5,First Cycle,D2,D2-1,P-11
C-73,1073,7.5,First Cycle,D5,D5-4,P-43
C-74,1074,7.5,First Cycle,D4,D4-1,P-32
C-75,1075,7.5,First Cycle,D7,D7-0,P-63
C-76,1076,7.5,Second Cycle,D8,D8-4,P-74
C-77,1077,7.5,First Cycle,D1,D1-2,P-02
C-78,1078,7.5,Second Cycle,D5,D5-5,P-43
C-79,1079,7.5,Second Cycle,D3,D3-1,P-21
C-80,1080,7.5,Second Cycle,D8,D8-0,P-74
C-81,1081,7.5,First Cycle,D5,D5-2,P-43
C-82,1082,7.5,Second Cycle,D6,D6-2,P-52
C-83,1083,7.5,First Cycle,D2,D2-5,P-12
C-84,1084,7.5,Second Cycle,D4,D4-4,P-32
C-85,1085,7.5,First Cycle,D7,D7-2,P-63
C-86,1086,7.5,First Cycle,D5,D5-5,P-43
C-87,1087,7.5,First Cycle,D7,D7-2,P-62
C-88,1088,7.5,First Cycle,D4,D4-5,P-31
C-89,1089,7.5,First Cycle,D5,D5-2,P-41
C-90,1090,7.5,Second Cycle,D1,D1-5,P-03
C-91,1091,7.5,Second Cycle,D5,D5-0,P-41
C-92,1092,7.5,First Cycle,D3,D3-2,P-22
C-93,1093,7.5,Second Cycle,D3,D3-4,P-22
C-94,1094,7.5,Second Cycle,D4,D4-4,P-32
C-95,1095,7.5,Second Cycle,D1,D1-0,P-01
C-96,1096,7.5,Second Cycle,D5,D5-5,P-42
C-97,1097,7.5,First Cycle,D2,D2-3,P-12
C-98,1098,7.5,First Cycle,D2,D2-5,P-11
C-99,1099,7.5,First Cycle,D6,D6-5,P-51
C-100,1100,7.5,First Cycle,D6,D6-4,P-52
C-101,1101,7.5,Second Cycle,D5,D5-5,P-41
C-102,1102,7.5,Second Cycle,D5,D5-0,P-41
C-103,1103,7.5,First Cycle,D7,D7-1,P-63
C-104,1104,7.5,First Cycle,D8,D8-3,P-71
C-105,1105,7.5,First Cycle,D8,D8-1,P-74
C-106,1106,7.5,First Cycle,D4,D4-4,P-32
C-107,1107,7.5,Second Cycle,D4,D4-3,P-33
C-108,1108,7.5,First Cycle,D5,D5-0,P-42
C-109,1109,7.5,Second Cycle,D8,D8-3,P-73
C-110,1110,7.5,First Cycle,D4,D4-4,P-32
C-111,1111,7.5,Second Cycle,D4,D4-3,P-32
C-112,1112,7.5,Second Cycle,D1,D1-0,P-03
C-113,1113,7.5,Second Cycle,D6,D6-1,P-51
C-114,1114,7.5,Second Cycle,D5,D5-0,P-41
C-115,1115,7.5,First Cycle,D1,D1-1,P-02
C-116,1116,7.5,Second Cycle,D8,D8-0,P-72
C-117,1117,7.5,Second Cycle,D6,D6-3,P-51
C-118,1118,7.5,Second Cycle,D7,D7-4,P-61
C-119,1119,7.5,Second Cycle,D4,D4-5,P-33
