courseCode,teacherID,hours
I-1,19680307-0062,229.0
I-1,19770310-0188,115.0
I-1,19901025-0328,120.0
I-1,19920428-0326,126.0
I-2,19670913-0054,238.0
I-2,19750813-0225,122.0
I-2,19930727-0258,102.0
I-2,19900223-0251,97.0
I-2,19931011-0322,100.0
I-3,19620411-0069,271.0
I-3,19750322-0237,146.0
I-3,19901114-0331,113.0
I-3,19931213-0380,113.0
I-3,19930131-0334,108.0
I-4,19660308-0145,232.0
I-4,19770212-0168,100.0
I-4,19910904-0383,82.0
I-4,19920902-0296,126.0
I-4,19910505-0351,140.0
I-5,19601225-0079,244.0
I-5,19750615-0231,93.0
I-5,19900508-0265,105.0
I-5,19910608-0275,109.0
I-6,19610301-0035,263.0
I-6,19750130-0240,81.0
I-6,19910213-0264,108.0
I-6,19910408-0250,120.0
I-7,19630316-0005,282.0
I-7,19750426-0230,156.0
I-7,19920316-0381,86.0
I-7,19920408-0343,131.0
I-8,19551112-0017,293.0
I-8,19770721-0174,132.0
I-8,19910103-0368,115.0
I-8,19911121-0366,141.0
I-9,19650421-0108,279.0
I-9,19761124-0173,106.0
I-9,19910408-0250,146.0
I-10,19550928-0032,291.0
I-10,19750518-0196,134.0
I-10,19920403-0319,84.0
I-10,19931124-0353,139.0
I-11,19660630-0141,280.0
I-11,19760424-0220,102.0
I-11,19911223-0300,88.0
I-11,19930906-0361,122.0
I-12,19610213-0104,264.0
I-12,19770222-0184,160.0
I-12,19920512-0320,136.0
I-13,19580131-0007,237.0
I-13,19750730-0223,154.0
I-13,19910519-0362,140.0
I-14,19570408-0107,246.0
I-14,19781230-0194,139.0
I-14,19900924-0280,121.0
I-14,19910207-0290,87.0
I-14,19911106-0344,114.0
I-15,19651129-0082,249.0
I-15,19780103-0216,114.0
I-15,19910123-0385,134.0
I-15,19931108-0310,152.0
I-16,19681204-0018,264.0
I-16,19750702-0234,146.0
I-16,19920316-0381,89.0
I-17,19690322-0050,221.0
I-17,19790214-0226,137.0
I-17,19910227-0301,95.0
I-17,19930218-0271,147.0
I-17,19900309-0255,153.0
I-18,19600503-0067,274.0
I-18,19760323-0201,109.0
I-18,19921024-0306,122.0
I-18,19931209-0335,110.0
I-18,19910412-0243,106.0
I-19,19600208-0140,271.0
I-19,19760910-0228,84.0
I-19,19930509-0345,137.0
I-20,19571206-0122,291.0
I-20,19760106-0153,118.0
I-20,19910519-0362,82.0
I-20,19921225-0352,116.0
I-20,19910123-0385,136.0
I-21,19560307-0105,273.0
I-21,19791228-0227,136.0
I-21,19911021-0244,114.0
I-22,19670315-0036,258.0
I-22,19771213-0157,86.0
I-22,19931108-0310,138.0
I-22,19920715-0337,104.0
I-23,19690906-0102,281.0
I-23,19780823-0221,116.0
I-23,19910909-0340,136.0
I-24,19641017-0004,255.0
I-24,19790227-0181,94.0
I-24,19921024-0306,81.0
I-24,19900223-0251,103.0
I-24,19930808-0285,113.0
I-25,19580607-0011,240.0
I-25,19790227-0208,123.0
I-25,19920715-0325,106.0
