courseCode,studyPeriod,academicYear,teacherID,hours,courseInstance
1763,1.0,2010-2011,19680307-0062,240.0,I-1
1763,1.0,2010-2011,19770310-0188,100.0,I-1
1763,1.0,2010-2011,19901025-0328,120.0,I-1
1763,1.0,2010-2011,19920428-0326,140.0,I-1
1556,2.0,2010-2011,19670913-0054,240.0,I-2
1556,2.0,2010-2011,19750813-0225,120.0,I-2
1556,2.0,2010-2011,19930727-0258,120.0,I-2
1556,2.0,2010-2011,19900223-0251,100.0,I-2
1556,2.0,2010-2011,19931011-0322,100.0,I-2
1516,4.0,2010-2011,19620411-0069,260.0,I-3
1516,4.0,2010-2011,19750322-0237,140.0,I-3
1516,4.0,2010-2011,19901114-0331,100.0,I-3
1516,4.0,2010-2011,19931213-0380,100.0,I-3
1516,4.0,2010-2011,19930131-0334,100.0,I-3
1293,3.0,2010-2011,19660308-0145,240.0,I-4
1293,3.0,2010-2011,19770212-0168,120.0,I-4
1293,3.0,2010-2011,19910904-0383,100.0,I-4
1293,3.0,2010-2011,19920902-0296,140.0,I-4
1293,3.0,2010-2011,19910505-0351,120.0,I-4
1741,3.0,2010-2011,19601225-0079,260.0,I-5
1741,3.0,2010-2011,19750615-0231,100.0,I-5
1741,3.0,2010-2011,19900508-0265,120.0,I-5
1741,3.0,2010-2011,19910608-0275,120.0,I-5
1739,1.0,2010-2011,19610301-0035,280.0,I-6
1739,1.0,2010-2011,19750130-0240,100.0,I-6
1739,1.0,2010-2011,19910213-0264,100.0,I-6
1739,1.0,2010-2011,19910408-0250,100.0,I-6
1679,2.0,2010-2011,19630316-0005,280.0,I-7
1679,2.0,2010-2011,19750426-0230,140.0,I-7
1679,2.0,2010-2011,19920316-0381,100.0,I-7
1679,2.0,2010-2011,19920408-0343,120.0,I-7
1654,2.0,2010-2011,19551112-0017,280.0,I-8
1654,2.0,2010-2011,19770721-0174,140.0,I-8
1654,2.0,2010-2011,19910103-0368,100.0,I-8
1654,2.0,2010-2011,19911121-0366,140.0,I-8
1646,2.0,2010-2011,19650421-0108,260.0,I-9
1646,2.0,2010-2011,19761124-0173,100.0,I-9
1646,2.0,2010-2011,19910408-0250,140.0,I-9
1571,1.0,2010-2011,19550928-0032,280.0,I-10
1571,1.0,2010-2011,19750518-0196,120.0,I-10
1571,1.0,2010-2011,19920403-0319,100.0,I-10
1571,1.0,2010-2011,19931124-0353,120.0,I-10
1498,1.0,2010-2011,19660630-0141,260.0,I-11
1498,1.0,2010-2011,19760424-0220,120.0,I-11
1498,1.0,2010-2011,19911223-0300,100.0,I-11
1498,1.0,2010-2011,19930906-0361,140.0,I-11
1489,2.0,2010-2011,19610213-0104,280.0,I-12
1489,2.0,2010-2011,19770222-0184,140.0,I-12
1489,2.0,2010-2011,19920512-0320,120.0,I-12
1420,2.0,2010-2011,19580131-0007,240.0,I-13
1420,2.0,2010-2011,19750730-0223,140.0,I-13
1420,2.0,2010-2011,19910519-0362,120.0,I-13
1324,3.0,2010-2011,19570408-0107,240.0,I-14
1324,3.0,2010-2011,19781230-0194,120.0,I-14
1324,3.0,2010-2011,19900924-0280,120.0,I-14
1324,3.0,2010-2011,19910207-0290,100.0,I-14
