teacherName,teacherID,departmentName,divisionName
Teacher 1,19550711-0001,D1,D1-3
Teacher 2,19640131-0002,D3,D3-5
Teacher 3,19590109-0003,D7,D7-3
Teacher 4,19641017-0004,D1,D1-3
Teacher 5,19630316-0005,D5,D5-2
Teacher 6,19580826-0006,D2,D2-0
Teacher 7,19580131-0007,D6,D6-3
Teacher 8,19550720-0008,D2,D2-0
Teacher 9,19561112-0009,D8,D8-1
Teacher 10,19610502-0010,D8,D8-1
Teacher 11,19580607-0011,D5,D5-0
Teacher 12,19550419-0012,D3,D3-4
Teacher 13,19551209-0013,D2,D2-0
Teacher 14,19670223-0014,D7,D7-0
Teacher 15,19600219-0015,D1,D1-0
Teacher 16,19670827-0016,D3,D3-0
Teacher 17,19551112-0017,D4,D4-0
Teacher 18,19681204-0018,D5,D5-3
Teacher 19,19630219-0019,D5,D5-2
Teacher 20,19600630-0020,D2,D2-0
Teacher 21,19630717-0021,D7,D7-1
Teacher 22,19650628-0022,D5,D5-1
Teacher 23,19640621-0023,D5,D5-3
Teacher 24,19680807-0024,D8,D8-5
Teacher 25,19590728-0025,D8,D8-0
Teacher 26,19580621-0026,D7,D7-5
Teacher 27,19680624-0027,D8,D8-5
Teacher 28,19600415-0028,D5,D5-3
Teacher 29,19581118-0029,D6,D6-5
Teacher 30,19660718-0030,D6,D6-2
Teacher 31,19560321-0031,D7,D7-0
Teacher 32,19550928-0032,D8,D8-3
Teacher 33,19620207-0033,D2,D2-4
Teacher 34,19580526-0034,D1,D1-3
Teacher 35,19610301-0035,D2,D2-1
Teacher 36,19670315-0036,D1,D1-0
Teacher 37,19590905-0037,D6,D6-0
Teacher 38,19630523-0038,D5,D5-1
Teacher 39,19560123-0039,D3,D3-0
Teacher 40,19570727-0040,D4,D4-4
Teacher 41,19630224-0041,D5,D5-0
Teacher 42,19620228-0042,D1,D1-1
Teacher 43,19610904-0043,D1,D1-0
Teacher 44,19550523-0044,D8,D8-4
Teacher 45,19600315-0045,D1,D1-5
Teacher 46,19561223-0046,D2,D2-3
Teacher 47,19650728-0047,D4,D4-5
Teacher 48,19581008-0048,D4,D4-2
Teacher 49,19600610-0049,D5,D5-3
Teacher 50,19690322-0050,D3,D3-3
Teacher 51,19690729-0051,D5,D5-3
Teacher 52,19631203-0052,D4,D4-3
Teacher 53,19591120-0053,D7,D7-2
Teacher 54,19670913-0054,D6,D6-3
Teacher 55,19550828-0055,D6,D6-1
Teacher 56,19560807-0056,D5,D5-5
Teacher 57,19580816-0057,D8,D8-3
Teacher 58,19590811-0058,D3,D3-3
Teacher 59,19681130-0059,D1,D1-5
Teacher 60,19590416-0060,D7,D7-5
Teacher 61,19560725-0061,D8,D8-5
Teacher 62,19680307-0062,D1,D1-3
Teacher 63,19560102-0063,D2,D2-3
Teacher 64,19561109-0064,D8,D8-3
Teacher 65,19550609-0065,D8,D8-5
Teacher 66,19601109-0066,D5,D5-3
Teacher 67,19600503-0067,D2,D2-1
Teacher 68,19560407-0068,D2,D2-5
Teacher 69,19620411-0069,D8,D8-3
Teacher 70,19631230-0070,D8,D8-0
Teacher 71,19691215-0071,D1,D1-2
Teacher 72,19610623-0072,D7,D7-0
Teacher 73,19580330-0073,D1,D1-0
